sampleID	condition	resistance	species	batch	country	counting_method	study
Kisumu4	Kisumu	susceptible	gambiae	12	Kenya	Kallisto	ug_nagi
Asendabo_ara1	Asendabo	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Asendabo_ara2	Asendabo	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Asendabo_ara3	Asendabo	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Asendabo_ara4	Asendabo	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Chewaka_ara1	Chewaka	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Chewaka_ara2	Chewaka	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Chewaka_ara3	Chewaka	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Chewaka_ara4	Chewaka	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Moz_VanLeeuwen1	Moz	susceptible	arabiensis	8	Mozambique	Hisat2 + htseq-count	et_simma
Moz_VanLeeuwen2	Moz	susceptible	arabiensis	8	Mozambique	Hisat2 + htseq-count	et_simma
Moz_VanLeeuwen3	Moz	susceptible	arabiensis	8	Mozambique	Hisat2 + htseq-count	et_simma
Moz_VanLeeuwen4	Moz	susceptible	arabiensis	8	Mozambique	Hisat2 + htseq-count	et_simma
Tolay1	Tolay	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Tolay2	Tolay	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Tolay3	Tolay	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Tolay4	Tolay	resistant	arabiensis	8	Ethiopia	Hisat2 + htseq-count	et_simma
Dongola1	Dongola	susceptible	arabiensis	9	Sudan	Subjunc + featureCounts	et_wipf
Dongola2	Dongola	susceptible	arabiensis	9	Sudan	Subjunc + featureCounts	et_wipf
Dongola3	Dongola	susceptible	arabiensis	9	Sudan	Subjunc + featureCounts	et_wipf
Ethiopia1	Ethiopia	resistant	arabiensis	9	Ethiopia	Subjunc + featureCounts	et_wipf
Ethiopia2	Ethiopia	resistant	arabiensis	9	Ethiopia	Subjunc + featureCounts	et_wipf
Ethiopia3	Ethiopia	resistant	arabiensis	9	Ethiopia	Subjunc + featureCounts	et_wipf
Gou1	Gou	resistant	arabiensis	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Gou2	Gou	resistant	arabiensis	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Gou3	Gou	resistant	arabiensis	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Moz_Ranson1	Moz	susceptible	arabiensis	1	Mozambique	Hisat2 + featureCounts	bf_williams
Moz_Ranson2	Moz	susceptible	arabiensis	1	Mozambique	Hisat2 + featureCounts	bf_williams
Moz_Ranson3	Moz	susceptible	arabiensis	1	Mozambique	Hisat2 + featureCounts	bf_williams
Cameroon_fun1	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun2	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun3	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun4	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun5	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun6	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun7	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun8	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
Cameroon_fun9	Cam_fun	resistant	funestus	7	Cameroon	Subread + featureCounts	mc_wondji
