GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN003723	0.83	-0.01	1.01	0.54	0.98
AFUN014198	1.32	1.62	1.28	1.41	1.25
AFUN007754	0.84	0.24	0.51	0.42	0.73
AFUN006329	0.87	0.94	0.84	0.99	1.14
AFUN009369	-0.83	-0.26	-0.52	-0.54	-0.36
AFUN017535	-3.45	-3.23	0.66	-0.21	-0.36
AFUN005347	1.04	0.77	0.57	0.95	0.87
AFUN017253	2.45	2.61	3.31	2.24	2.59
AFUN003593	-1.25	-0.85	-0.87	-0.83	-1.11
AFUN000114	-0.88	-0.95	-0.82	-0.72	-1.03
AFUN021838	-1.8	-1.39	-1.94	-1.83	-1.83
AFUN019238	-0.84	0.42	-0.9	-0.26	-0.47
AFUN007060	1.1	1.13	0.81	1.05	0.99
AFUN002338	1.08	1.03	0.87	0.92	0.89
AFUN004086	0.71	0.86	0.76	0.82	0.89
AFUN004717	0.56	0.54	0.31	0.41	0.46
AFUN006992	0.75	-0.2	0.1	0.26	0.29
AFUN004739	-0.57	-0.37	-0.32	-0.61	-0.48
AFUN001235	-0.93	-0.92	-1.29	-0.79	-1.12
AFUN000738	-0.51	-0.19	-0.4	-0.33	-0.37
AFUN006855	-3.97	-1.5	-2.41	-1.67	-0.78
AFUN004112	-1.4	-1.08	-1.09	-1.14	-0.99
AFUN008912	-0.89	-0.43	-0.9	-0.72	-0.86
AFUN004030	-0.46	-0.04	-0.13	-0.13	-0.07
AFUN010875	1.46	1.19	1.2	1.17	1.14
AFUN007272	-0.98	-0.89	-1.02	-0.9	-1.23
AFUN000230	0.65	0.67	0.3	0.46	0.4
AFUN011387	0.63	0.32	0.24	0.52	0.34
AFUN002455	-0.67	-0.75	-0.79	-0.76	-0.7
AFUN000658	0.5	0.52	0.41	0.42	0.51
AFUN016067	1.09	1.16	0.97	0.87	0.88
AFUN020556	-0.75	-0.07	-0.47	-0.41	-0.18
AFUN002038	1.41	1.08	1.02	0.75	1.0
AFUN010305	0.98	1.13	0.96	0.75	0.75
AFUN008815	0.94	0.76	0.87	0.79	0.88
AFUN007507	0.58	0.5	0.41	0.39	0.52
AFUN001952	1.1	1.6	1.4	1.48	1.69
AFUN002476	1.06	0.36	0.96	0.8	1.22
AFUN018615	-0.93	-0.63	-0.95	-0.8	-0.84
AFUN008413	0.45	0.35	0.43	0.42	0.49
AFUN002728	0.83	0.49	0.44	0.53	0.54
AFUN010170	-0.57	-0.77	-0.53	-0.52	-0.7
AFUN003113	0.87	1.11	1.09	1.18	1.09
AFUN021952	1.07	0.92	1.13	1.34	1.18
AFUN019130	-1.74	-0.71	-1.93	-1.37	-2.49
AFUN006894	1.04	1.01	1.06	1.07	1.08
AFUN003886	1.53	0.94	1.55	2.08	1.51
AFUN000197	-0.81	-0.74	-0.6	-0.91	-0.85
AFUN014339	1.15	0.88	0.72	0.97	0.96
AFUN000473	-1.57	-1.03	-1.14	-0.9	-1.16
AFUN018506	-1.06	-0.84	-0.87	-1.12	-0.99
AFUN006051	0.66	0.47	0.2	0.23	0.34
AFUN009628	0.78	0.44	0.52	0.53	0.64
AFUN000427	1.37	0.73	0.81	0.9	0.75
AFUN016413	-0.87	-1.08	-1.32	-0.84	-1.46
AFUN019561	-1.94	-0.41	-1.63	0.14	-1.65
AFUN005391	-1.7	-1.24	-1.06	-0.92	-1.11
AFUN003749	0.95	0.54	0.62	0.68	0.77
AFUN018705	1.54	-1.05	0.85	0.75	0.83
AFUN002229	1.29	1.13	0.57	0.75	0.83
AFUN020690	-0.98	-0.58	-0.67	-0.81	-0.96
AFUN020334	1.17	1.5	1.11	1.43	1.21
AFUN008190	0.62	0.46	0.56	0.57	0.53
AFUN002500	-1.54	-1.16	-1.42	-0.14	-1.43
AFUN007092	0.59	0.6	0.42	0.46	0.35
AFUN020024	0.82	0.41	0.32	0.46	0.54
AFUN020993	0.93	0.66	0.8	0.77	0.98
AFUN003554	-1.03	-0.38	-0.92	-1.01	-0.96
AFUN015811	1.42	1.45	1.43	1.23	1.07
AFUN020474	-0.86	-0.6	-0.69	-0.7	-0.5
AFUN006758	-1.18	-0.26	-1.86	-1.67	-1.81
AFUN008143	1.14	0.89	0.81	0.88	0.83
AFUN003043	-0.99	-0.52	-0.66	-0.72	-0.62
AFUN002630	0.87	1.13	0.8	0.77	0.86
AFUN019563	-0.73	-0.47	-0.51	-0.54	-0.49
AFUN000335	-0.82	-0.48	-0.85	-0.73	-0.88
AFUN019762	-1.16	-0.79	-0.62	-1.07	-1.01
AFUN010064	0.58	0.54	0.4	0.36	0.39
AFUN008553	0.88	0.86	0.94	0.94	0.96
AFUN007291	1.24	0.93	0.83	0.89	0.74
AFUN022326	0.65	0.5	0.27	0.52	0.39
AFUN016681	0.61	0.33	0.45	0.48	0.39
AFUN021258	1.02	0.86	0.71	0.78	0.81
AFUN006815	0.57	0.6	0.49	0.52	0.54
AFUN014816	1.09	0.94	0.97	1.03	1.19
AFUN003159	0.77	0.54	0.41	0.45	0.41
AFUN000619	1.28	1.18	0.97	1.08	0.86
AFUN000810	2.13	3.25	2.12	1.64	1.44
AFUN001655	-0.87	-0.81	-1.09	-1.07	-1.43
AFUN011280	0.62	0.48	0.25	0.33	0.21
AFUN000006	1.02	1.02	0.71	1.03	0.96
AFUN021255	0.98	0.88	0.78	0.8	0.63
AFUN006122	-1.16	-1.1	-0.76	-1.2	-1.07
AFUN002332	0.59	0.62	0.4	0.42	0.57
AFUN006863	0.88	0.81	0.89	0.9	0.86
AFUN004284	1.05	0.88	0.74	1.01	0.9
AFUN003836	0.62	0.56	0.41	0.64	0.47
AFUN001081	-1.64	-1.11	-1.4	-0.87	-1.35
AFUN016108	1.25	1.13	0.65	0.68	0.89
AFUN006417	0.84	0.87	0.52	0.56	0.76
AFUN000519	-0.63	-0.38	-0.53	-0.16	-0.72
AFUN006981	-1.31	-0.52	-1.25	-0.7	-1.36
AFUN001319	-0.95	-0.87	-0.89	-0.74	-0.98
