GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP005320	-0.18	-0.01	0.34	-0.25	0.18	-0.22	-0.38	-0.53	-0.39	0.46	-0.35	0.18	-0.65	-0.01	-0.83	-0.06	-0.15	-0.07	-0.18	-0.02	-0.39	-0.11	-0.26
AGAP010568	0.17	0.02	0.41	0.18	0.1	0.05	0.39	0.42	0.58	0.36	0.72	0.31	0.66	0.45	0.81	-0.07	-0.04	0.1	0.03	0.22	0.08	0.87	-0.19
AGAP007713	-0.15	0.0	-0.1	-0.07	0.09	0.07	0.21	0.42	0.32	0.36	0.4	0.55	0.57	0.58	0.62	-0.1	0.27	0.13	0.1	0.14	0.21	0.1	-0.02
AGAP004963	-0.26	0.4	1.16	0.06	-0.23	-0.48	-0.35	-0.73	-0.3	0.77	-2.89	-0.03	-3.7	-0.11	-3.77	-0.7	-1.37	0.02	0.13	0.37	0.08	-1.64	-1.21
AGAP006764	-0.5	-0.44	-0.42	-0.62	0.13	0.16	0.01	0.29	0.5	-0.34	-0.68	-0.59	-0.94	-0.78	-1.1	0.65	-0.1	1.44	-0.79	-0.45	-0.86	-0.56	-0.5
AGAP005417	0.63	0.16	-0.48	0.03	0.08	-0.89	-1.24	-1.21	-1.97	-0.12	0.52	0.03	0.67	-0.17	0.48	-0.3	0.56	-0.06	1.27	1.09	0.99	0.96	0.89
AGAP009693	-0.17	0.15	-0.16	-0.02	0.04	0.32	0.41	0.07	0.0	-0.75	-0.51	-0.58	-0.36	-1.0	-0.76	0.26	0.54	-0.54	0.36	0.33	0.25	-0.56	-0.03
AGAP001073	-0.15	0.03	0.23	0.13	-0.14	0.0	-0.15	-0.09	0.04	0.16	-0.17	0.12	-0.23	0.18	-0.15	-0.05	-0.26	0.47	0.34	0.34	0.43	0.7	-0.27
AGAP008274	-1.61	0.11	-0.52	1.32	1.07	0.16	0.28	0.26	-0.26	-0.61	0.91	0.38	1.86	-0.51	0.98	0.51	0.75	-0.41	0.17	-0.48	0.89	-0.24	-0.02
AGAP007390	-0.19	0.35	-0.27	-0.2	0.33	-0.42	-0.94	-1.78	-1.71	0.69	0.07	0.99	0.37	0.64	0.03	0.29	1.15	-0.67	-0.32	0.54	0.13	-0.37	-0.1
AGAP013313	3.41	-0.49	-1.12	-1.39	-0.86	0.37	1.89	1.46	1.52	-1.1	-0.55	-0.13	0.41	-0.26	0.3	-1.09	-1.22	-0.01	-1.36	-2.57	-1.36	0.52	-2.05
AGAP000545	0.15	-0.26	0.16	-0.04	0.03	0.43	1.49	1.03	0.84	0.04	0.08	-0.11	-0.08	-0.19	-0.15	0.04	0.32	0.44	-0.41	0.0	-0.36	0.04	0.45
AGAP004372	0.14	0.07	0.28	0.17	0.14	-0.51	-0.24	0.7	0.35	-0.42	-0.12	-0.14	0.14	0.09	0.39	-0.1	-0.29	-0.47	1.84	0.91	0.71	0.17	-0.28
AGAP001584	0.21	0.0	0.16	-0.07	-0.14	0.37	0.26	0.39	0.47	0.25	-0.14	0.29	-0.13	0.47	0.08	0.21	0.28	-0.19	-0.11	-0.09	-0.03	0.64	-0.29
AGAP002197	2.33	-0.58	-0.78	-1.31	1.33	2.92	2.89	3.43	3.94	0.2	1.39	0.85	2.03	1.04	2.23	-0.27	0.33	-2.55	2.56	2.43	4.49	-0.97	2.6
AGAP004059	0.28	-0.01	-0.17	0.01	-0.35	0.12	0.26	-0.32	-0.31	-0.13	0.67	-0.39	0.39	-0.16	0.65	-0.52	-0.41	0.3	0.5	0.0	0.43	0.1	0.56
AGAP002223	-0.17	-0.18	0.27	-0.09	-0.03	0.09	0.09	0.03	0.04	-0.13	-0.32	-0.11	-0.31	-0.29	-0.48	0.0	-0.03	0.64	-0.5	-0.22	-0.42	-0.02	0.02
AGAP006143	-0.42	0.27	-0.48	0.33	0.73	0.03	-2.71	0.32	0.39	0.07	-1.68	0.74	-1.06	-0.01	-1.77	0.2	0.61	-0.9	-8.52	-8.51	-6.77	-1.46	-0.37
AGAP008712	0.54	0.44	-0.49	0.62	0.66	0.58	-1.0	-0.83	-1.18	-0.84	0.69	-0.47	1.05	-0.39	1.14	-0.03	0.58	-1.71	-0.45	-0.74	-0.8	0.48	0.6
AGAP005314	-0.23	0.28	0.46	-0.1	-0.01	-0.32	-0.29	0.04	0.16	0.53	-0.51	0.57	-0.48	0.6	-0.44	-0.45	-0.53	0.2	-0.13	-0.37	0.02	0.48	-0.75
AGAP008989	-0.21	-0.65	-0.47	-0.66	-0.14	0.06	0.21	-0.39	-0.37	-1.01	-1.17	-0.32	-0.5	-0.92	-1.08	0.63	0.58	0.69	0.24	0.28	0.47	0.01	-0.18
AGAP007742	-0.15	-0.05	-0.08	-0.12	-0.1	-0.15	-0.03	0.13	0.21	-0.11	0.09	0.05	0.24	-0.03	0.17	-0.16	-0.09	0.35	0.29	0.17	0.47	0.19	0.09
AGAP004471	0.19	0.33	0.02	0.2	-0.1	0.24	0.03	0.21	0.29	0.36	0.03	0.23	-0.11	0.47	0.15	0.01	-0.17	0.23	-0.06	-0.12	0.31	-0.04	0.02
AGAP028221	0.7	-0.07	-0.43	-0.09	0.21	-0.65	-0.42	0.18	-0.34	-0.19	0.24	0.82	1.24	0.2	0.63	-0.3	0.05	-0.25	0.45	0.25	0.58	1.66	0.21
AGAP006657	0.69	0.12	-0.36	-0.16	-0.23	0.32	-0.35	-0.47	-0.61	0.25	1.22	0.09	1.05	0.4	1.38	0.23	0.51	-1.6	-1.16	-1.12	-1.64	0.55	0.52
AGAP003701	0.36	-0.45	0.49	3.92	5.89	-0.11	-0.55	0.17	-0.21	0.45	-0.11	0.26	-0.31	0.25	-0.3	1.52	0.33	1.35	-0.51	-0.3	-0.71	0.15	-1.39
