GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP000258	-0.24	-0.27	-0.1	0.1	-0.08	0.59	0.72	0.56	0.38	-0.16	-0.45	-0.2	-0.5	-0.2	-0.48	-0.21	0.06	0.45
AGAP003029	-0.23	-0.1	0.25	0.07	0.04	-0.06	-0.2	-0.28	-0.36	0.2	-0.65	0.1	-0.76	0.01	-0.84	0.0	-0.55	0.87
AGAP011538	0.52	0.49	-1.24	0.52	-0.71	-0.06	-0.55	-0.48	-0.54	0.24	1.63	-0.23	1.15	0.12	1.5	1.72	0.59	0.32
AGAP011680	-0.34	0.16	-1.18	0.86	1.84	0.05	-0.55	-0.11	0.0	-0.09	0.56	0.56	1.2	0.58	1.23	0.86	1.04	-1.22
AGAP002537	1.54	0.54	-1.51	1.05	0.7	-0.33	-0.47	-1.3	-1.34	-1.32	0.04	-0.4	0.95	-0.67	0.69	-1.17	0.8	-0.19
AGAP004269	-0.24	-0.28	0.29	0.26	0.14	0.14	0.07	0.09	0.16	0.21	-0.4	0.09	-0.53	0.09	-0.52	0.26	-0.52	0.52
AGAP010211	-0.21	-0.14	0.33	0.14	0.11	-0.09	-0.2	-0.01	0.02	0.35	-0.53	0.3	-0.59	0.38	-0.5	-0.12	-0.15	0.64
AGAP007805	-0.21	-0.3	0.02	-0.41	-0.43	0.33	-0.24	-0.11	0.14	0.23	0.07	0.2	0.03	0.04	-0.12	0.16	0.26	-0.08
AGAP010272	-0.61	-0.35	-0.34	0.24	-0.76	0.77	-0.16	1.84	1.44	-0.36	0.2	0.62	1.17	0.59	1.15	-0.22	-0.25	-2.24
AGAP001157	-0.16	-0.12	0.03	-0.09	0.04	0.09	0.31	0.15	0.1	-0.33	0.27	-0.32	0.27	-0.25	0.35	-0.12	0.1	0.34
AGAP013439	0.56	0.06	-0.07	0.3	0.29	-0.18	-0.66	-0.2	-0.38	0.06	1.0	-0.23	0.7	0.05	0.99	-0.67	0.47	-0.79
AGAP002754	-0.12	-0.08	0.09	-0.22	-0.09	0.15	-0.17	0.23	0.23	0.3	-0.18	0.43	-0.05	0.42	-0.05	-0.08	0.12	0.08
AGAP010978	-0.21	0.11	0.05	-0.24	0.24	-0.01	-0.06	-0.04	0.19	0.49	0.47	0.48	0.45	0.6	0.59	0.33	0.26	0.24
AGAP011346	0.22	0.21	-0.07	0.01	0.19	0.24	-0.34	-0.01	0.16	0.32	0.08	0.26	0.02	0.4	0.16	0.09	0.3	0.13
AGAP001388	4.26	-1.63	-1.15	0.75	0.08	-0.32	-0.94	-0.57	-0.58	0.82	0.53	1.61	1.32	1.69	1.41	-0.65	-0.45	-1.62
AGAP013505	4.26	3.16	0.89	-2.14	-1.31			0.94						0.86	0.86	1.34	2.89	-0.55
AGAP007295	0.2	-0.03	0.33	-0.15	-0.26	0.2	0.12	-0.37	-0.03	0.66	-0.49	-0.09	-1.25	-0.09	-1.24	-0.4	-0.3	-0.3
AGAP010477	0.23	0.34	0.41	0.06	0.1	-0.06	-0.39	-0.22	-0.09	0.16	-0.15	0.1	-0.22	0.39	0.09	-0.2	-0.09	0.37
AGAP007911	-0.26	-0.11	-0.09	0.12	0.3	-0.12	-0.3	-0.12	-0.15	0.26	0.42	0.43	0.58	0.29	0.46	0.19	-0.02	0.42
AGAP009175	-0.21	-0.18	0.07	-0.05	-0.21	0.09	0.08	-0.05	0.01	-0.16	-0.59	-0.1	-0.54	-0.04	-0.47	0.02	-0.2	0.41
AGAP006024	0.5	-0.39	-1.23	-1.26	-1.6	-0.48	-1.51	-0.85	-1.53	0.24	0.02	0.91	0.68	1.1	0.89	0.4	0.27	-2.2
AGAP011937	0.36	0.19	-0.4	0.19	-1.22	0.14	1.46	2.2	2.13	0.49	0.09	1.42	1.0	0.93	0.53	-0.24	-1.58	-2.16
AGAP004643	-0.49	-0.77	0.46	0.48	-0.42	0.26	1.07	2.58	2.23	0.28	1.68	1.25	2.65	1.69	3.1	-0.21	0.36	-3.29
