GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN017535	0.0	0.0	0.5	0.908	0.755
AFUN005347	0.0	0.03	0.0	0.0	0.0
AFUN017253	0.0	0.0	0.0	0.0	0.0
AFUN003593	0.0	0.001	0.0	0.002	0.01
AFUN000114	0.0	0.009	0.0	0.0	0.0
AFUN021838	0.0	0.027	0.0	0.0	0.0
AFUN019238	0.0	0.322	0.0	0.37	0.013
AFUN007060	0.0	0.0	0.001	0.0	0.0
AFUN002338	0.0	0.011	0.0	0.0	0.021
AFUN004086	0.0	0.004	0.0	0.0	0.0
AFUN004717	0.0	0.01	0.039	0.0	0.0
AFUN006992	0.0	0.534	0.647	0.266	0.4
AFUN004739	0.0	0.334	0.044	0.01	0.019
AFUN001235	0.0	0.0	0.001	0.0	0.04
AFUN000738	0.0	0.619	0.0	0.024	0.038
AFUN006855	0.0	0.05	0.002	0.015	0.227
AFUN004112	0.0	0.056	0.0	0.001	0.001
AFUN008912	0.0	0.294	0.0	0.002	0.0
AFUN004030	0.0	0.855	0.352	0.66	0.738
AFUN010875	0.0	0.0	0.0	0.0	0.0
AFUN007272	0.0	0.013	0.0	0.001	0.001
AFUN000230	0.0	0.005	0.104	0.039	0.004
AFUN011387	0.0	0.228	0.283	0.004	0.016
AFUN002455	0.0	0.001	0.0	0.0	0.0
AFUN000658	0.0	0.039	0.004	0.114	0.004
AFUN016067	0.0	0.0	0.0	0.0	0.0
AFUN020556	0.0	0.781	0.012	0.153	0.689
AFUN002038	0.0	0.035	0.001	0.165	0.001
AFUN010305	0.0	0.0	0.0	0.0	0.0
AFUN008815	0.0	0.057	0.0	0.0	0.0
AFUN007507	0.0	0.026	0.0	0.005	0.0
AFUN001952	0.0	0.0	0.0	0.0	0.0
AFUN002476	0.0	0.307	0.006	0.007	0.053
AFUN018615	0.0	0.273	0.0	0.019	0.0
AFUN008413	0.0	0.008	0.0	0.062	0.139
AFUN002728	0.0	0.127	0.017	0.002	0.004
AFUN010170	0.0	0.05	0.012	0.082	0.0
AFUN003113	0.0	0.0	0.0	0.0	0.0
AFUN021952	0.0	0.002	0.0	0.0	0.0
AFUN019130	0.0	0.383	0.0	0.0	0.0
AFUN006894	0.0	0.001	0.0	0.0	0.0
AFUN003886	0.0	0.007	0.0	0.0	0.0
AFUN000197	0.0	0.119	0.0	0.0	0.0
AFUN014339	0.0	0.006	0.023	0.0	0.0
AFUN000473	0.0	0.046	0.012	0.17	0.0
AFUN018506	0.0	0.032	0.0	0.0	0.0
AFUN006051	0.0	0.133	0.101	0.157	0.038
AFUN009628	0.0	0.069	0.0	0.004	0.002
AFUN000427	0.0	0.073	0.006	0.017	0.005
AFUN016413	0.0	0.011	0.0	0.001	0.0
AFUN019561	0.0	0.466	0.0	0.759	0.0
AFUN005391	0.0	0.002	0.0	0.033	0.0
AFUN003749	0.0	0.084	0.0	0.0	0.0
AFUN018705	0.0	0.31	0.011	0.043	0.073
AFUN002229	0.0	0.001	0.009	0.002	0.01
AFUN020690	0.0	0.141	0.0	0.0	0.0
AFUN020334	0.0	0.0	0.0	0.0	0.0
AFUN008190	0.0	0.004	0.0	0.0	0.001
AFUN002500	0.0	0.065	0.0	0.652	0.0
AFUN007092	0.0	0.0	0.001	0.026	0.0
AFUN020024	0.0	0.201	0.022	0.011	0.0
AFUN020993	0.0	0.029	0.0	0.0	0.0
AFUN003554	0.0	0.296	0.0	0.0	0.0
AFUN015811	0.0	0.001	0.0	0.0	0.012
AFUN020474	0.0	0.041	0.0	0.03	0.195
AFUN006758	0.0		0.0	0.0	0.0
AFUN008143	0.0	0.008	0.002	0.0	0.0
AFUN003043	0.0	0.056	0.0	0.036	0.032
AFUN002630	0.0	0.004	0.0	0.001	0.0
AFUN019563	0.0	0.011	0.0	0.002	0.01
AFUN000335	0.0	0.056	0.0	0.0	0.0
AFUN019762	0.0	0.0	0.005	0.0	0.0
AFUN010064	0.0	0.032	0.002	0.042	0.009
AFUN008553	0.0	0.004	0.0	0.0	0.0
AFUN007291	0.0	0.02	0.0	0.0	0.028
AFUN022326	0.0	0.015	0.2	0.0	0.006
AFUN016681	0.0	0.076	0.0	0.004	0.065
AFUN021258	0.0	0.013	0.004	0.0	0.0
AFUN006815	0.0	0.006	0.004	0.0	0.0
AFUN014816	0.0	0.008	0.0	0.0	0.0
AFUN003159	0.0	0.017	0.0	0.003	0.0
AFUN000619	0.0	0.0	0.0	0.0	0.044
AFUN000810	0.0	0.0	0.0	0.007	0.0
AFUN001655	0.0	0.158	0.0	0.0	0.007
AFUN011280	0.0	0.002	0.116	0.04	0.341
AFUN000006	0.0	0.017	0.0	0.0	0.0
AFUN021255	0.0	0.025	0.0	0.0	0.0
AFUN006122	0.0	0.013	0.0	0.0	0.003
AFUN002332	0.0	0.015	0.003	0.057	0.001
AFUN006863	0.0	0.01	0.0	0.0	0.0
AFUN004284	0.0	0.014	0.001	0.0	0.0
AFUN003836	0.0	0.01	0.0	0.0	0.0
AFUN001081	0.0	0.149	0.003	0.137	0.0
AFUN016108	0.0	0.014	0.017	0.056	0.008
AFUN006417	0.0	0.015	0.0	0.002	0.004
AFUN000519	0.0	0.051	0.001	0.497	0.001
AFUN006981	0.0	0.488	0.0	0.014	0.0
AFUN001319	0.0	0.027	0.0	0.016	0.0
AFUN008679	0.0	0.001	0.0	0.0	0.0
AFUN003382	0.0	0.072	0.0	0.003	0.0
AFUN001466	0.0	0.0	0.001	0.0	0.048
AFUN005960	0.0	0.007	0.0	0.0	0.0
AFUN009193	0.0	0.0	0.0	0.0	0.0
AFUN002342	0.0	0.005	0.009	0.757	0.197
AFUN002942	0.0	0.007	0.0	0.039	0.173
AFUN002097	0.0	0.002	0.003	0.0	0.0
AFUN021329	0.0	0.108	0.001	0.0	0.0
AFUN004171	0.0	0.0	0.0	0.0	0.0
AFUN000343	0.0	0.012	0.0	0.0	0.0
AFUN022126	0.0	0.019	0.0	0.003	0.002
AFUN002647	0.0	0.031	0.001	0.0	0.003
AFUN007320	0.0	0.006	0.0	0.0	0.0
AFUN019083	0.0	0.0	0.0	0.0	0.0
AFUN015809	0.0	0.005	0.0	0.0	0.03
AFUN020075	0.0	0.341	0.0	0.005	0.0
AFUN019138	0.0	0.258	0.106	0.713	0.179
AFUN011825	0.0	0.069	0.0	0.0	0.0
AFUN011645	0.0	0.024	0.01	0.014	0.021
AFUN018732	0.0	0.004	0.0	0.0	0.0
AFUN003412	0.0	0.012	0.0	0.0	0.0
AFUN018869	0.0		0.0	0.001	0.0
AFUN008714	0.0	0.001	0.0	0.0	0.0
AFUN001217	0.0	0.001	0.001	0.0	0.0
AFUN007559	0.0	0.065	0.0	0.031	0.004
AFUN006922	0.0	0.22	0.0	0.0	0.007
AFUN019184	0.0	0.0	0.0	0.0	0.0
AFUN018993	0.0	0.073	0.0	0.0	0.0
AFUN001800	0.0	0.019	0.004	0.0	0.001
AFUN005024	0.0	0.002	0.0	0.0	0.0
AFUN001823	0.0		0.002	0.093	0.004
